book_id,title,publication_year,average_rating,genre
4905303,A Child's First Book about Play Therapy,1990,4.03,CHILDREN
7327760,"Jed and Roy McCoy, A Christmas Story",2009,4.00,CHILDREN
35711308,همیشه دوستت دارم,"",4.35,CHILDREN
15842732,Melvin: The Luckiest Monkey in the World,2013,3.46,CHILDREN
22546690,The Innings and Outs of Baseball,2015,3.90,CHILDREN
20736550,"Mei-Mei's Lucky Birthday Noodles: A Loving Story of Adoption, Chinese Culture and a Special Birthday Treat",2014,3.32,CHILDREN
3202123,Puss in Boots,"",3.50,CHILDREN
598596,Poetry for Young People: Emily Dickinson,1994,4.05,CHILDREN
14459305,Truck Parade,2012,3.47,CHILDREN
3127636,Elmer and the Hippos,2004,3.78,CHILDREN
552489,Oink?,2006,3.42,CHILDREN
665403,"The Homecoming (Young Black Stallion, #3)",1999,4.08,CHILDREN
1991548,Slop!: A Welsh Folktale,1997,3.76,CHILDREN
24991753,حیوانات خشمگین,2007,3.95,CHILDREN
26067539,Grandad's Island,2016,4.22,CHILDREN
10209872,You Just Can't Help It!: Your Guide to the Wild and Wacky World of Human Behavior,2011,3.41,CHILDREN
2284133,"Lara and the Moon-Colored Filly (Hoofbeats: Lara and the Gray Mare, #2)",2005,4.16,CHILDREN
268993,"Deadly Games (Fear Street Collector's Edition, #7)",1998,4.16,CHILDREN
1403551,Barbie as the Island Princess,2007,4.27,CHILDREN
346627,The Dot,2008,4.22,CHILDREN
3467200,"Back in the Saddle (Silver Creek Riders, #1)",1994,3.87,CHILDREN
11026682,Smokey Bear and The Campers (Little Golden Books),1961,3.78,CHILDREN
36159196,Castles in the Sand,1992,4.11,CHILDREN
68645,Hello? Is Anybody There?,1998,3.72,CHILDREN
1566413,The Mouse of Amherst: A Tale of Young Readers,2001,3.79,CHILDREN
17707055,A Gift for Sophie,2013,3.86,CHILDREN
33267768,A Viagem,2016,4.47,CHILDREN
24828163,"The Unmapped Sea (The Incorrigible Children of Ashton Place, #5)","",4.19,CHILDREN
15864322,Sparkle Box,2011,4.64,CHILDREN
17201758,"Karlík a továrna na čokoládu (Charlie Bucket, #1)",2009,4.11,CHILDREN
1558321,Its Lovely When You Smile,2005,4.07,CHILDREN
12281357,A Stitch in Time,"",3.78,CHILDREN
1513356,The Tale of Mrs. Tiggy-Winkle,1905,4.20,CHILDREN
17825201,Little Trouble in Tall Tree,2012,3.69,CHILDREN
21535571,The Beast in My Belly,2015,3.20,CHILDREN
16276854,Showtime: Meet the People Behind the Scenes,2013,3.00,CHILDREN
17802726,Chupi: The Binky That Returned Home,2013,3.77,CHILDREN
22749778,Lots of Bots (Robots Rule! #2),2015,3.95,CHILDREN
24875957,Pig-Piggy-Pigs,2015,3.83,CHILDREN
23846250,Friend or Foe: The Whole Truth about Animals That People Love to Hate,2015,3.89,CHILDREN
13407255,Molly's Organic Farm,2012,3.86,CHILDREN
925735,Leon Chameleon P.I. and the Case of the Kidnapped Mouse,1995,4.29,CHILDREN
645967,Eggs Mark the Spot,1997,3.65,CHILDREN
2161802,"The Ninth Nugget (A to Z Mysteries, #14)",2003,4.01,CHILDREN
3620913,The Digging Est Dog,"",4.22,CHILDREN
397149,Tell Me a Scary Story... But Not Too Scary! (Book & Audio CD),"",3.91,CHILDREN
1286303,The Ghost of Sifty-Sifty Sam,1997,4.05,CHILDREN
17732187,Katie dan Cupcake Penghibur,2013,4.21,CHILDREN
4560115,A Little History Of The Horn Book,1942,4.25,CHILDREN
18812101,"The Giver (The Giver, #1)",2014,4.12,CHILDREN
1298441,"Pooh's Leaf Pile (Winnie the Pooh First Reader, #16)",1999,3.72,CHILDREN
693971,"Human Torpedo (Lockie Leonard, #1)",1995,3.21,CHILDREN
17658601,"No Lie, I Acted Like a Beast!: The Story of Beauty and the Beast as Told by the Beast",2013,3.79,CHILDREN
27170663,DK Readers L1: Jungle Animals,2016,4.13,CHILDREN
494748,The Hallo-Weiner,1999,4.19,CHILDREN
17162189,Joulupukki,1981,4.44,CHILDREN
554840,The Secret Remedy Book: A Story of Comfort and Love,2003,4.30,CHILDREN
23848302,Magic in the Mix,2015,3.99,CHILDREN
20708043,حكايات اندرسن,2014,3.80,CHILDREN
488019,"A Tree Is a Plant (Let's-Read-and-Find-Out Science, Stage 1)",2001,3.61,CHILDREN
3148841,"Cewek Aneh Bernama Tilda (Stella Etc., #6)",2008,3.73,CHILDREN
1367957,Grover Takes Care Of Baby,"",3.95,CHILDREN
1694036,Autistic Planet,2007,4.04,CHILDREN
15929149,Hammerhead vs. Bull Shark,2016,4.16,CHILDREN
849152,"A Dark, Dark Tale",1992,4.08,CHILDREN
1216618,Hugs and Kisses,2004,3.85,CHILDREN
6804570,Stonewall Jackson's Black Sunday School,2010,4.22,CHILDREN
