book_id,title,publication_year,average_rating,genre
17264898,"Le matin des cendres 2/2 (Wollodrïn, #2)",2011,3.87,COMICS
1119714,Blindspot,"",2.85,COMICS
23128011,Generation Hope: Complete Series,2011,3.41,COMICS
25652703,"The Complete Peanuts, Vol. 25: 1999-2000",2016,4.34,COMICS
18366819,Rurouni Kenshin #2,2011,4.36,COMICS
1644421,Orphen: Volume 5,2006,3.98,COMICS
28936149,Saving Grace,2016,3.82,COMICS
31431342,Deadpool (1997-2002) #59,"",4.17,COMICS
9449781,The Mad Sampler,"",3.65,COMICS
179174,"The Secret of the Unicorn (Tintin, #11)",1974,4.26,COMICS
18171258,Kapteeni Hyperventilaattorimies,2013,3.60,COMICS
30843653,Superman (2016-) #2,"",3.90,COMICS
18108874,La Perdida,2006,3.33,COMICS
27419827,Niobe: She Is Life #1,"",3.89,COMICS
30250130,The Raven & other tales : a graphic novel,2016,3.69,COMICS
6059532,School Rumble 17,"",4.01,COMICS
35784952,Hex11 #5,2015,4.40,COMICS
1324795,Vagabond #17,2005,4.39,COMICS
66731,"Cartoon History of the Universe II, Vol. 8-13: From the Springtime of China to the Fall of Rome","",4.28,COMICS
21562514,Star Wars: In Shadow of Yavin: Vol. 3,2014,3.78,COMICS
13411390,Mitos,2010,3.64,COMICS
18465536,Petty Theft,2014,3.27,COMICS
7265289,Prilla's Talent (Disney Fairies Graphic Novels #1),2010,4.14,COMICS
25830860,New Mutants (1983-1991) #27,"",3.50,COMICS
11441943,"Secret Society of Super-Villains, Vol. 1",2011,3.14,COMICS
298470,"52, Vol. 2",2007,3.90,COMICS
1010985,"Pokemon Graphic Novel, Volume 2: Pikachu Shocks Back (Viz Graphic Novel)","",4.22,COMICS
30734747,"Ms. Marvel, #11: Civil War II",2016,4.37,COMICS
7633303,"Alice Academy, Vol. 3",2006,4.40,COMICS
7851561,"Flame of Recca Vol. 12 (Flame of Recca, #12)",2008,4.03,COMICS
34729155,Deadpool & The Mercs For Money Vol. 2 #9,"",3.88,COMICS
209571,Ode to Kirihito,"",4.06,COMICS
32864347,Insexts #9,"",4.14,COMICS
7950962,Lágrimas de Pedra (Favole #1),2007,4.18,COMICS
133500,Comanche Moon,2004,3.71,COMICS
23623482,"Aarteenmetsästäjät (Luupäät, #8)",2003,4.34,COMICS
23205592,Tehnoočevi 1,2010,3.92,COMICS
22011499,"アイアムアヒーロー, Vol. 13 (I Am a Hero, #13)",2013,3.96,COMICS
6337758,"Berserk, Vol. 30",2009,4.46,COMICS
17131856,"Army of Darkness Omnibus, Volume 3",2013,3.85,COMICS
22609123,"Food Wars!, Vol. 5",2015,4.34,COMICS
357403,"Red River, Vol. 2 (Red River, #2)",2004,4.35,COMICS
18105470,"Romantica Clock, Vol. 02","",4.06,COMICS
25986705,X-Men '92 Infinite Comic #4,"",3.64,COMICS
16174901,Damsels #1,2012,3.39,COMICS
20734056,Dylan Dog: En seriemördares bekännelser,2013,3.00,COMICS
13112538,The Law of Ueki 1,2006,4.03,COMICS
18898269,Swallow Me Whole,"",3.66,COMICS
2014861,Leviathan,2010,3.64,COMICS
6548216,Hotaru's Light Vol. 4,2008,3.53,COMICS
1487861,"Magical X Miracle, Vol. 4 (Magical x Miracle, #4)","",4.06,COMICS
5422215,"Sugarholic, Vol. 1",2009,3.77,COMICS
26190815,"水神の生贄 1 (Suijin no Ikenie, #1)",2015,4.03,COMICS
32202780,"Patsy Walker, A.K.A. Hellcat! #10",2016,4.28,COMICS
2462618,Bone 6: Old Man's Cave,2007,4.35,COMICS
6684536,Col cavolo,2006,3.16,COMICS
23497563,Fantastic Four: The Coming of Galactus (Marvel Ultimate Graphic Novels Collection),2014,3.58,COMICS
