book_id,title,publication_year,average_rating,genre
13413811,"Tu es moi (The Lying Game, #1)",2012,3.96,MYSTERY
35285683,Best Day Ever,2017,3.81,MYSTERY
20337449,Mistaken Enemy,2013,3.92,MYSTERY
11066870,"The Concrete Blonde (Harry Bosch, #3)",2009,4.12,MYSTERY
9151324,The Mission: A Redemption of the Past,2010,3.42,MYSTERY
19355351,To The Grave,2014,4.10,MYSTERY
1074335,The Ambler Warning,2007,3.71,MYSTERY
12905451,Trick or Treat,2011,3.81,MYSTERY
25858671,"Almost the Perfect Murder: The Killing of Elaine O'Hara, the Extraordinary Garda Investigation and the Trial That Stunned the Nation: the Only Complete Inside Account",2015,3.90,MYSTERY
20821003,"Haunted (Hannah Smith, #3)",2014,3.47,MYSTERY
9358877,Spore,2010,3.27,MYSTERY
36217863,"Gone Before Christmas (Charles Lenox Mysteries, #10.5)","",4.20,MYSTERY
35094344,The Masterminds (Masterful #2),"",4.55,MYSTERY
13178501,Showstoppers (Emily Castles Mysteries #2),2014,3.58,MYSTERY
21971722,Cape Comedy,2014,4.60,MYSTERY
3064313,"Стечение обстоятельств (Каменская, #1)",2001,3.85,MYSTERY
8450174,"Dark Blood (Logan McRae, #6)",2010,4.14,MYSTERY
16003757,Downward-Facing Death,2012,3.19,MYSTERY
35818049,Sydney on Fire,2017,4.08,MYSTERY
942793,"Looking Down (Sarah Fortune, #4)",2005,3.26,MYSTERY
34427546,Mindhunter,2017,4.05,MYSTERY
63729,"Zoo Station (John Russell, #1)","",3.84,MYSTERY
25241510,"Broken Promise (Promise Falls, #1)",2015,3.91,MYSTERY
8427264,Murder Your Darlings (Algonquin Round Table #1),2011,3.37,MYSTERY
18714953,A Bustle in the Hedgerow,2013,3.92,MYSTERY
6276486,"Pankaa Parker Lautoihin (Parker, #1)",1973,4.06,MYSTERY
20871400,"Poppy Done to Death (Aurora Teagarden, #8)",2013,3.85,MYSTERY
4931616,In a High and Lonely Place,"",4.17,MYSTERY
27408705,Seek and Find,2016,4.34,MYSTERY
915279,The Grey Man,2007,3.61,MYSTERY
2322364,"Armed and Glamorous (Crime of Fashion, #6)","",3.91,MYSTERY
25785361,Holiday on the Run,2015,4.38,MYSTERY
18640276,"Wake to Darkness (Brown and de Luca, #2)",2013,4.18,MYSTERY
20899144,Fear the Light,2013,3.84,MYSTERY
9725551,Red Square,1995,3.95,MYSTERY
30235047,"In the Bleak Midwinter (Rev. Clare Fergusson & Russ Van Alstyne Mysteries, #1)",2003,3.92,MYSTERY
5291540,"The Girl with the Dragon Tattoo (Millennium, #1)",2009,4.11,MYSTERY
1082072,Black Sunshine,2003,3.84,MYSTERY
6172342,"Blindsighted / Kisscut (Grant County, #1, #2)","",4.40,MYSTERY
13177444,"The Devil's Elixir (Templar, #3)",2012,3.73,MYSTERY
