book_id,title,publication_year,average_rating,genre
12763254,To Join the Lost,2011,3.00,POETRY
2919643,The Secret Life of Poems: A Poetry Primer,2008,3.36,POETRY
481463,Out of the Howling Storm: The New Chinese Poetry,1993,4.30,POETRY
7675704,The Available World: Poems,2010,3.79,POETRY
2830228,Christmas Blessings,"",4.29,POETRY
10494288,Annabel Lee,"",4.35,POETRY
19385139,I Wrote This For You: Just the Words,"",4.23,POETRY
18579887,Home,"",4.23,POETRY
442925,Lady Faustus,1983,4.00,POETRY
6676693,We Weep for Our Strangeness,2008,4.50,POETRY
1607360,Living in the Resurrection,1995,4.30,POETRY
18668347,Eruv,2014,3.62,POETRY
11123008,Harmonium,1975,4.50,POETRY
2604303,Riddle-Lightful: Oodles of Little Riddle Poems,1998,4.67,POETRY
34604945,Abandoned Breaths,2017,4.78,POETRY
17317021,The Family Reunion,1979,3.49,POETRY
13559118,Martín Fierro,1966,3.68,POETRY
9021040,Pasii profetului,"",4.26,POETRY
16139805,The Best Australian Poems 2012,2012,3.77,POETRY
1583629,On Entering the Sea,2006,4.45,POETRY
23793781,"Collected Poems, By W. B. Yeats: (Annotated)","",4.25,POETRY
1286510,Rotten English: A Literary Anthology,2007,4.11,POETRY
29417303,Sexy Haiku,2016,3.86,POETRY
150272,Economy of the Unlost,2002,4.32,POETRY
419199,Friedrich Schlegel's Lucinde and the Fragments,1971,3.91,POETRY
824619,Bad Boats,"",4.38,POETRY
17377149,هتفضل جزمة,2013,3.22,POETRY
658393,Keeping My Name,2006,4.25,POETRY
1951226,Poems for a Small Planet: Contemporary American Nature Poetry,1993,4.25,POETRY
236827,The Odyssey,"",3.73,POETRY
13635041,The Puncher & Wattmann anthology of Australian poetry,2009,3.00,POETRY
3271288,Duino Elegies,1998,4.44,POETRY
29902264,How to Draw a Rhinoceros,2016,4.33,POETRY
18224952,27 519 tegn med mellomrom,2013,3.52,POETRY
24551752,Something Like The Desert,"",4.59,POETRY
22624411,My Strength: (The Book of Poems to Get Through Any Day!),2014,4.20,POETRY
2969783,A Mensageira das Violetas,2002,4.02,POETRY
1887255,Through the Wire: Lyrics and Illuminations,"",3.78,POETRY
175038,Hotel Insomnia,1992,4.03,POETRY
10120224,Guesswork,2011,3.57,POETRY
13593674,The Swing,2012,4.16,POETRY
997906,Aufzeichnungen des Malte Laurids Brigge,2006,4.06,POETRY
17835438,Sbohem a šáteček,1966,4.35,POETRY
3953499,Figure Studies,2008,4.12,POETRY
649482,Emergency Kit,2004,3.72,POETRY
25065674,Dog Songs and a Thousand Mornings,2014,4.11,POETRY
15737783,Poemas,1981,3.60,POETRY
665165,The Wounded Breakfast,1985,4.58,POETRY
17655886,The Incredible Sestina Anthology,2013,4.44,POETRY
29570479,The Missing Museum,2016,4.21,POETRY
2276214,Flesh: Poems,"",4.60,POETRY
18617733,All night in the new country,2013,4.22,POETRY
2186863,به‌ قول پرستو,2010,3.78,POETRY
1957897,White Buildings,1986,4.27,POETRY
18881644,How to Read a Poem: And Fall in Love with Poetry (Harvest Book),"",3.92,POETRY
879302,Jacklight,1984,3.83,POETRY
1524136,Momentary Dark,2006,4.11,POETRY
17927499,Echoes: Neo-Victorian Poetry,2013,3.91,POETRY
21878188,Sufi Lyrics: Bulleh Shah,2015,4.41,POETRY
18586273,السير وحيدة برفقة أغنية وكلب,2013,3.90,POETRY
1833533,Romance of the Rubaiyat,1959,4.18,POETRY
3171370,A Communion of Saints,2008,3.75,POETRY
13085908,Falanga,2001,3.67,POETRY
6447363,Uluhaimalama,2008,4.00,POETRY
23015998,Melvis And Elvis,2015,4.08,POETRY
2227956,hovercraft,2001,4.73,POETRY
8470819,The Truth as I See It: In Poetry & Prose,2010,3.95,POETRY
669342,Cool Gardens,2002,3.78,POETRY
13635546,O Fazedor,2002,4.21,POETRY
34055,If: A Father's Advice to His Son,2007,4.40,POETRY
405973,Poets of the New Century,2001,3.74,POETRY
19333409,The Gift of a Rose,2013,5.00,POETRY
15863171,The New American Poetry of Engagement: A 21st Century Anthology,2012,4.50,POETRY
6493804,مجموعۀ کاملِ اشعارِ قیصر امین‌پور,2009,4.26,POETRY
245680,Flower Fairies of the Spring,2002,4.32,POETRY
204110,"Goethe's Faust, Part I: A New American Version",1957,3.93,POETRY
3063196,A Most Marvelous Piece of Luck,2008,3.67,POETRY
1897330,Canciones del más acá,1993,3.80,POETRY
16056830,La Odisea,2013,3.73,POETRY
22320213,SuperLoop,"",4.56,POETRY
9821280,Cousins of Clouds: Elephant Poems,2011,3.71,POETRY
26268204,What the Night Numbered,2015,4.60,POETRY
21400753,Paper Aeroplane: Poems 1989–2014,2014,4.11,POETRY
981152,Blipsoak01,2003,3.95,POETRY
30413038,Voice from the East,2016,4.50,POETRY
762605,The Greek Anthology: And Other Ancient Greek Epigrams,1982,4.35,POETRY
1952111,Nyanyi Sunyi,2004,3.80,POETRY
21944221,أزهار الشر,2012,4.26,POETRY
15701634,Walking Home: A Poet's Journey,2012,3.66,POETRY
11509121,Waking,2011,4.17,POETRY
26506805,"Sunlight on the River: Poems about Paintings, Paintings about Poems",2015,4.00,POETRY
418145,Instan,2002,4.37,POETRY
467142,Rilke: Selected Poems,1961,4.00,POETRY
12147774,"Kuolema, rakkaus ja lisälaitteet",2006,4.00,POETRY
1159346,Leap Year Day: New And Selected Poems,"",4.43,POETRY
1219999,Economy Of The Unlost:,1999,4.32,POETRY
20799132,Modrý květ,1940,3.68,POETRY
17910294,Holding On Upside Down: The Life and Work of Marianne Moore,2013,4.17,POETRY
443517,Scratching the Beat Surface: Essays on New Vision from Blake to Kerouac,1994,3.88,POETRY
23344435,Pieniä kovia nuppuja,2014,3.73,POETRY
28245138,Горе от ума,1987,4.13,POETRY
730660,"From the First Nine: Poems, 1946-1976",1982,4.38,POETRY
11231468,Sir Gawain and the Green Knight,2007,3.68,POETRY
27401824,Selected Poems of S. T. Coleridge,1966,4.00,POETRY
17665679,Tulipunane vihmavari,2012,4.14,POETRY
9697819,Conseguito silenzio,"",4.13,POETRY
958001,"Pounding The Pavements, Beating The Bushes, And Other Pataphysical Poems","",4.38,POETRY
223062,Striving Towards Being: The Letters of Thomas Merton and Czeslaw Milosz,1997,4.15,POETRY
32920232,Best American Poetry 2017,2017,3.87,POETRY
21154859,The Sun Rising,"",4.23,POETRY
383457,The Lyrics of Noël Coward,2012,4.27,POETRY
8160612,عروسی خون,1977,3.81,POETRY
236778,"Five Metaphysical Poets: Donne, Herbert, Vaughan, Crashaw, Marvell",2009,4.00,POETRY
17343760,Sir Gawain a zelený rytíř,2012,3.68,POETRY
6499176,Train I Ride,2009,3.33,POETRY
8497232,Works of Edgar Allan Poe,"",4.52,POETRY
30714451,Bodas de sangre,2014,3.81,POETRY
1825430,Now You're the Enemy: Poems,2008,4.18,POETRY
1576990,Poemas y canciones,2006,3.85,POETRY
11131065,Deepening Groove,2011,4.22,POETRY
7183544,Bar Napkin Sonnets,2009,4.73,POETRY
203924,Contemporary American Poetry (Penguin Academics Series),2004,3.92,POETRY
1637153,Calendars,2003,4.14,POETRY
1540045,Malu (Aku) Jadi Orang Indonesia,1998,3.94,POETRY
16156480,اني المشنوق اعلاه,"",4.06,POETRY
30092441,"Wanderers, Witch-Talkers",2016,4.50,POETRY
10075702,Small Mechanics,2011,3.80,POETRY
32057239,Tempat Paling Liar Di Muka Bumi,2016,4.04,POETRY
24578259,كاموفلاج,2014,4.16,POETRY
33665701,Rilke's Book of Hours: Love Poems to God,1997,4.45,POETRY
31019828,A Song about Myself,2017,3.04,POETRY
6913256,Apresentação da Noite,2006,4.31,POETRY
131950,Dark Harbor,1994,4.12,POETRY
8061556,Seçme Şiirler,2006,4.16,POETRY
212611,Why Things Burn,2001,4.27,POETRY
26173207,The Prophet,2015,4.23,POETRY
846488,The Prophet,2013,4.23,POETRY
15839194,Délire amoureux - Delirio amoroso,2011,3.76,POETRY
13211245,The Abundance of Nothing: Poems,2012,4.05,POETRY
118391,The Waste Land and Other Poems,1998,4.20,POETRY
7906269,"OK, Goodnight",2010,4.11,POETRY
963617,The Wife of Bath,1995,3.61,POETRY
10740367,My Last Duchess and Other Poems,"",4.05,POETRY
15994182,Trust Falls into Wet Cement,2011,4.46,POETRY
25548130,By Grand Central Station I Sat Down and Wept,2015,3.67,POETRY
383777,"Mastodon, 80% Complete",2001,4.26,POETRY
20098464,Should Our Undoing Come Down Upon Us White,2016,4.00,POETRY
17033630,Borrowed Tales,2012,4.00,POETRY
807076,My Lover is Mine: Words and Images Inspired by the Ancient Love Poetry of Solomon,"",3.92,POETRY
16060805,Skinny Dipping in Daylight,2012,4.06,POETRY
10777241,بسيط كالماء واضح كطلقة مسدس,1982,3.95,POETRY
14523564,2013 Poet's Market,2012,4.31,POETRY
1860730,The Neglected Walt Whitman: Vital Texts,1993,4.55,POETRY
16085724,Monologhi del giorno del giudizio,2011,4.28,POETRY
3295509,Amazing Peace,2008,4.14,POETRY
31017931,Wintering,2016,3.25,POETRY
17189849,A Blackbird Sings: a book of short poems,2012,4.16,POETRY
112230,Hoops,2006,3.79,POETRY
3876136,There's a Cow Under My Bed!,2008,3.57,POETRY
24859189,Shingle Street,"",3.53,POETRY
8247814,Gawayne and the Green Knight: A Fairy Tale,"",3.78,POETRY
3261124,End of the World Graffiti,2008,4.28,POETRY
5989432,Mistakes in the Background,2008,3.73,POETRY
16057418,"By the Way, Meet Vera Stark",2013,4.04,POETRY
114805,Forms of Distance,1995,4.15,POETRY
8145993,The Iliad,1991,3.83,POETRY
13262107,Il mio letto è una nave. Poesie per grandi incanti e piccoli lettori,1997,4.30,POETRY
7981217,Three Old English Elegies,1988,4.00,POETRY
22151696,Lullabies,2014,4.05,POETRY
27421628,And the Tail Wagged On...,2015,5.00,POETRY
663738,"Danitra Brown, Class Clown",2005,3.96,POETRY
25622234,Writing Across the Landscape: Travel Journals 1960-2013,2015,3.88,POETRY
144608,Times Alone: Selected Poems of Antonio Machado,1983,4.38,POETRY
18330270,Parallax,2013,3.92,POETRY
98472,Burning Down the House: Selected Poems from the Nuyorican Poets Cafe's National Poetry Slam Champions,2000,3.89,POETRY
9721289,Eneide,2001,3.81,POETRY
19099677,Trespass: Poems,2014,4.30,POETRY
1401996,Want: Poems,2008,4.26,POETRY
1209607,"The Body of Poetry: Essays on Women, Form, and the Poetic Self",2005,4.50,POETRY
854954,The Penguin Anthology of Classical Arabic Literature,2006,4.05,POETRY
2067512,Gedichte,1997,4.16,POETRY
13181135,Forget-Me-Nots: Poems to Learn by Heart,2012,4.01,POETRY
6266228,The Iliad,1994,3.83,POETRY
